x,y,z,phi1,PHI,phi2,phase,grain_id,kam,stored_energy,is_recrystallized
0.0,0.0,0.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.5728139682753675,28740.12047970238,0
0.0,0.0,1.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.6216089694034395,28862.97028193699,0
0.0,0.0,2.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.579404412514808,23707.24172139151,0
0.0,0.0,3.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.811018131165663,25241.310630940043,0
0.0,0.0,4.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.644641646067189,23862.73755429208,0
0.0,0.0,5.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.811471667314494,29442.944456759888,0
0.0,0.0,6.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.798975153753296,29657.373283856516,0
0.0,0.0,7.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,7.160731127191693,32038.361351013526,0
0.0,0.0,8.0,193.6232339575343,141.60716557700698,99.60838339957147,1,3,9.561397990822163,48683.147633625784,0
0.0,0.0,9.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,7.376814864137368,34097.199327247276,0
0.0,1.0,0.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.664465640490238,30046.272876706007,0
0.0,1.0,1.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.114555340953319,26263.781454971057,0
0.0,1.0,2.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.2618105348482365,26315.417278316367,0
0.0,1.0,3.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.489084433408628,29273.529886555618,0
0.0,1.0,4.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.993428922635249,26037.65654567324,0
0.0,1.0,5.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.7758804371956405,24596.346299710174,0
0.0,1.0,6.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.732607773552594,28853.15484222155,0
0.0,1.0,7.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,7.224958310583924,34335.184245272954,0
0.0,1.0,8.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,7.006798157440173,32376.534689061056,0
0.0,1.0,9.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,7.195998701609872,33918.85042279019,0
0.0,2.0,0.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.977812839962339,26342.265014456993,0
0.0,2.0,1.0,198.61351935264628,141.53048770266645,88.51820753733084,1,4,7.506411465108582,35205.62157272628,0
0.0,2.0,2.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.701334542357274,22881.589869042073,0
0.0,2.0,3.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.852043054475523,23701.913300645465,0
0.0,2.0,4.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.114555340953319,27296.106211119582,0
0.0,2.0,5.0,198.61351935264628,141.53048770266645,88.51820753733084,1,4,7.534086870691971,35014.41971972468,0
0.0,2.0,6.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.078672565063535,24884.51493121937,0
0.0,2.0,7.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.373212621250685,28009.017764677043,0
0.0,2.0,8.0,190.06937225195588,139.49126982687213,91.23302944146958,1,5,7.542628310454672,35597.160419574706,0
0.0,2.0,9.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,7.339468139281653,32595.075219205104,0
0.0,3.0,0.0,190.06937225195588,139.49126982687213,91.23302944146958,1,5,6.949662975717231,31686.17823850746,0
0.0,3.0,1.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.912338109209632,23638.581042722086,0
0.0,3.0,2.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.929868424363799,25639.67883756533,0
0.0,3.0,3.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.806993274425534,23391.18874502967,0
0.0,3.0,4.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.116290772198247,24884.704191034172,0
0.0,3.0,5.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.5970549566202745,29555.983123224254,0
0.0,3.0,6.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.889985708233216,24349.77266331883,0
0.0,3.0,7.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.952706232085639,23825.16192987981,0
0.0,3.0,8.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.784003724137435,30057.903103018616,0
0.0,3.0,9.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.817566666997213,31069.035705835497,0
