x,y,z,phi1,PHI,phi2,phase,grain_id,kam,stored_energy,is_recrystallized
0.0,0.0,0.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.5728139682753675,0.0,0
0.0,0.0,1.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.6216089694034395,0.0,0
0.0,0.0,2.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.579404412514808,0.0,0
0.0,0.0,3.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.811018131165663,0.0,0
0.0,0.0,4.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.644641646067189,0.0,0
0.0,0.0,5.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.811471667314494,0.0,0
0.0,0.0,6.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.798975153753296,0.0,0
0.0,0.0,7.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,7.160731127191693,0.0,0
0.0,0.0,8.0,193.6232339575343,141.60716557700698,99.60838339957147,1,3,9.561397990822163,0.0,0
0.0,0.0,9.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,7.376814864137368,0.0,0
0.0,1.0,0.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.664465640490238,0.0,0
0.0,1.0,1.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.114555340953319,0.0,0
0.0,1.0,2.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.2618105348482365,0.0,0
0.0,1.0,3.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.489084433408628,0.0,0
0.0,1.0,4.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.993428922635249,0.0,0
0.0,1.0,5.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.7758804371956405,0.0,0
0.0,1.0,6.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.732607773552594,0.0,0
0.0,1.0,7.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,7.224958310583924,0.0,0
0.0,1.0,8.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,7.006798157440173,0.0,0
0.0,1.0,9.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,7.195998701609872,0.0,0
0.0,2.0,0.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.977812839962339,0.0,0
0.0,2.0,1.0,198.61351935264628,141.53048770266645,88.51820753733084,1,4,7.506411465108582,0.0,0
0.0,2.0,2.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.701334542357274,0.0,0
0.0,2.0,3.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.852043054475523,0.0,0
0.0,2.0,4.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.114555340953319,0.0,0
0.0,2.0,5.0,198.61351935264628,141.53048770266645,88.51820753733084,1,4,7.534086870691971,0.0,0
0.0,2.0,6.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.078672565063535,0.0,0
0.0,2.0,7.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.373212621250685,0.0,0
0.0,2.0,8.0,190.06937225195588,139.49126982687213,91.23302944146958,1,5,7.542628310454672,0.0,0
0.0,2.0,9.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,7.339468139281653,0.0,0
0.0,3.0,0.0,190.06937225195588,139.49126982687213,91.23302944146958,1,5,6.949662975717231,0.0,0
0.0,3.0,1.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.912338109209632,0.0,0
0.0,3.0,2.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.929868424363799,0.0,0
0.0,3.0,3.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.806993274425534,0.0,0
0.0,3.0,4.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.116290772198247,0.0,0
0.0,3.0,5.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.5970549566202745,0.0,0
0.0,3.0,6.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.889985708233216,0.0,0
0.0,3.0,7.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.952706232085639,0.0,0
0.0,3.0,8.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.784003724137435,0.0,0
0.0,3.0,9.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.817566666997213,0.0,0
0.0,4.0,0.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.186320892732887,0.0,0
0.0,4.0,1.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.185054805623198,0.0,0
0.0,4.0,2.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.669350076724889,0.0,0
0.0,4.0,3.0,198.61351935264628,141.53048770266645,88.51820753733084,1,4,7.193017742279305,0.0,0
0.0,4.0,4.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,6.2731183378969,0.0,0
0.0,4.0,5.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.912338109209632,0.0,0
0.0,4.0,6.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.0870743220289345,0.0,0
0.0,4.0,7.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.126492879572675,0.0,0
0.0,4.0,8.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.558923097028463,0.0,0
0.0,4.0,9.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.502906479094923,0.0,0
0.0,5.0,0.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.649751952698317,0.0,0
0.0,5.0,1.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.364212258880926,0.0,0
0.0,5.0,2.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.314904083612002,0.0,0
0.0,5.0,3.0,198.61351935264628,141.53048770266645,88.51820753733084,1,4,7.1717946911790476,0.0,0
0.0,5.0,4.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.960556805789301,0.0,0
0.0,5.0,5.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.717825484328702,0.0,0
0.0,5.0,6.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.492059835882566,0.0,0
0.0,5.0,7.0,190.06937225195588,139.49126982687213,91.23302944146958,1,5,6.506165727457461,0.0,0
0.0,5.0,8.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.477621872605561,0.0,0
0.0,5.0,9.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.546446797086365,0.0,0
0.0,6.0,0.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,7.3550519531482195,0.0,0
0.0,6.0,1.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,7.263495301978328,0.0,0
0.0,6.0,2.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.945968229621323,0.0,0
0.0,6.0,3.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.047655764485193,0.0,0
0.0,6.0,4.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.00669180336188,0.0,0
0.0,6.0,5.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.850957836952932,0.0,0
0.0,6.0,6.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.092115376208175,0.0,0
0.0,6.0,7.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.4826698849960165,0.0,0
0.0,6.0,8.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,6.154003461995275,0.0,0
0.0,6.0,9.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.561977795501464,0.0,0
0.0,7.0,0.0,194.9319243918408,131.88035158067038,93.69981063791627,1,6,9.604125046204523,0.0,0
0.0,7.0,1.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.788247182560225,0.0,0
0.0,7.0,2.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.365478345990614,0.0,0
0.0,7.0,3.0,190.06937225195588,139.49126982687213,91.23302944146958,1,5,6.808697465085736,0.0,0
0.0,7.0,4.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.092115376208175,0.0,0
0.0,7.0,5.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.183788718513509,0.0,0
0.0,7.0,6.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.339953854648238,0.0,0
0.0,7.0,7.0,190.06937225195588,139.49126982687213,91.23302944146958,1,5,6.764287272860807,0.0,0
0.0,7.0,8.0,198.61351935264628,141.53048770266645,88.51820753733084,1,4,7.474590960577795,0.0,0
0.0,7.0,9.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.307104320117447,0.0,0
0.0,8.0,0.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,7.068659963382953,0.0,0
0.0,8.0,1.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.929023959821408,0.0,0
0.0,8.0,2.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.437496312999806,0.0,0
0.0,8.0,3.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.029311698525032,0.0,0
0.0,8.0,4.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.652344525539177,0.0,0
0.0,8.0,5.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,5.850957836952932,0.0,0
0.0,8.0,6.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.251440112348215,0.0,0
0.0,8.0,7.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.628103504009951,0.0,0
0.0,8.0,8.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.261810534848237,0.0,0
0.0,8.0,9.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.22144241197223,0.0,0
0.0,9.0,0.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.598459963083017,0.0,0
0.0,9.0,1.0,198.61351935264628,141.53048770266645,88.51820753733084,1,4,6.907293193003916,0.0,0
0.0,9.0,2.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,6.624167422430247,0.0,0
0.0,9.0,3.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.23038504193199,0.0,0
0.0,9.0,4.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.789672314080191,0.0,0
0.0,9.0,5.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.345163799759547,0.0,0
0.0,9.0,6.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.760362341787893,0.0,0
0.0,9.0,7.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.586682260628331,0.0,0
0.0,9.0,8.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.926423024096186,0.0,0
0.0,9.0,9.0,199.25129889894518,141.55110495974392,98.8017418128622,1,2,5.802483712691567,0.0,0
0.0,10.0,0.0,193.2564626258121,144.298168268226,89.88425367564571,1,1,7.280705178651971,0.0,0
0.0,10.0,1.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.699962622366755,0.0,0
0.0,10.0,2.0,198.46006145011367,138.49013690391607,93.95743321522828,1,0,6.36761273971644,0.0,0
